,left,right
0,992646,15599768
1,1622901,6156152
2,1646076,10276161
3,1678567,6153877
4,1679034,14374534
5,1924051,17698681
6,1961182,9177218
7,2142817,17415439
8,2204467,2512602
9,2369444,10119916
10,2379544,10681487
11,2438653,10627239
12,2439067,3814853
13,2439134,4099900
14,2439150,11851588
15,2568465,10167078
16,2597151,3158085
17,2612527,4391978
18,2628785,4311586
19,2652641,12882179
20,2797480,13713529
21,2964760,10855798
22,2966602,12704069
23,2979486,9585145
24,2979675,7422253
25,2988292,19046339
26,3043970,16181130
27,3044500,6317793
28,3046503,2355126
29,3048606,3009700
30,3060480,17380080
31,3061422,3272218
32,3157405,8752697
33,3158123,15225589
34,3281684,15202263
35,3498479,3414508
36,3450442,4700078
37,3486381,8244723
38,3486867,5478818
39,3539170,8159396
40,3543931,13795090
41,3650006,15829660
42,3729496,3762317
43,3814651,15732471
44,3814701,9761454
45,3819859,4127944
46,3820148,2920554
47,3886356,5966099
48,3925724,5955853
49,3926438,3727004
50,3926669,3727026
51,3926904,7529574
52,3928522,16434842
53,3928574,5890323
54,3928652,12704360
55,3931398,3793760
56,3944330,15732050
57,3944626,16195633
58,3945136,13948718
59,3945225,3793681
60,3945232,9841469
61,3945246,19271710
62,3945394,3729504
63,3945454,11637003
64,3945756,8566140
65,3946166,3620633
66,3946364,6133702
67,3946432,2935173
68,3946569,8813113
69,3979181,5794678
70,4108016,3002410
71,4110483,17587726
72,4117305,16720240
73,16631114,9556700
74,4154421,3690921
75,4188290,5010581
76,4260935,3756659
77,4274518,19156025
78,4279887,10293348
79,4324479,19950281
80,4324567,15732509
81,4354933,14604028
82,4379508,3794023
83,4379603,8307514
84,4381129,15404207
85,4381377,10673895
86,4391317,11826171
87,4393026,16131474
88,4398543,17380092
89,4400767,13751194
90,4401350,4598363
91,4408362,4721087
92,4408369,16758011
93,4408397,4199033
94,4409374,4234559
95,12726582,4415241
96,6704232,8559607
97,16939375,8924186
98,4412315,3347708
99,4414163,4414184
100,4422289,11605861
101,4433197,15668497
102,4433960,13806524
103,4453485,2283495
104,4493199,8244823
105,4506509,2852273
106,4523584,2659386
107,4523803,13793212
108,4570270,2921933
109,4607160,9287199
110,4635057,7971031
111,4636432,9808146
112,4637677,17913185
113,4664256,17326218
114,4665186,17671219
115,4680995,17806341
116,4721538,8069365
117,4749004,17323054
118,4778745,4319395
119,4780707,15683275
120,4785242,2935198
121,4901087,18133444
122,4966994,16578252
123,12336493,4983938
124,4985759,9291474
125,4991243,8227502
