left_skid,right_skid,cosine_similarity,left_name
5606265,19718010,0.0,A09 (ASB SOG-LH Dense Core)_a1l
16675987,13646473,0.0,DPMl_ant_ven descending 2 left
16667592,16950550,0.0,DALd descending 2 left; DALd_l  6
15608355,6252764,0.0,BAlc post lat lat 6 AL left
17732256,17656886,0.0,UNK descending to T1 left
18123575,17543765,0.0,BAla34 lateral descending 1b left
15983156,16442344,0.0,AN-L-Sens-B1-AVa-39
3267019,15612241,0.0,MN-L-Sens-B2-VM-19
5057916,16115501,0.0,AN-L-Sens-B3-VM-11
10018161,17379360,0.0,PVM21-like 1 left
15995861,15445198,0.0,AN-L-Sens-B2-VM-08
20556072,17025508,0.0,DPM descending thin left
10018150,17379298,0.0,CM4 sparse descending left
5689639,5855343,0.0,CM13 tall ipsilateral left
8357933,13764822,0.0,BT; BAmd2 ven desc lat 5_left
5095269,4030526,0.0,AN-L-Sens-B3-VM-14
17736755,15964206,0.0,UNK descending 2 left
15998913,15508475,0.0,AN-L-Sens-B2-VM-04
5116861,4059758,0.0,AN-L-Sens-B3-VM-15
13736919,17877682,0.0,BAmd2 descending 1 left
8723983,16115255,0.0,CM13 descending left
13833814,16316981,0.0,BAmas12_dor descending 2 left
14651659,13760954,0.0,BAmd2_v descending left
15998319,15594038,0.0,AN-L-Sens-B2-VM-05
10728323,2655798,0.0,DPMm1 ipsilateral descending left
15996271,15505837,0.0,AN-L-Sens-B2-VM-06
17809869,17654519,0.0,BAlp descending 2 left
17732737,2663649,0.0,DPMl a 5 left
15675901,15615877,0.0,MN-L-Sens-B2-VM-22
15674083,15611791,0.0,MN-L-Sens-B2-VM-02
15678441,15611642,0.0,MN-L-Sens-B2-VM-09
18929470,6700147,0.0,BAmd2 descending 2 left
16952671,6154200,0.0,DALd midloop 2 left; DALd_l  13
15717229,15629241,0.0,MN-L-Sens-B2-VM-15
7955278,12026822,0.0,DPMl12 ant Left
3944330,15732050,0.0,Output of PC Hugin left
15714845,15615475,0.0,MN-L-Sens-B2-VM-10
15727304,15672153,0.0,MN-L-Sens-B3-VM-04
11717035,21591317,0.0,BLP12 not great pair hook left; dpn_left_1304_12
16272893,16268751,0.0,A03 ipsilateral local_a1l
11207649,10891544,0.0,VLEL(Y5)_a1l
15728017,15640567,0.0,MN-L-Sens-B3-VM-13
8152399,10860792,0.0,VLEL(Y2)_a1l
